workflowid,gsm_version,param,index,default,configurable,gsm_analysis_date
cou0007,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0007,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0007,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0007,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
qtl0004,1.3.1,strGroup,,Study,FALSE,2022-11-18
qtl0004,1.3.1,vThreshold,1,0.01,TRUE,2022-11-18
qtl0004,1.3.1,strMethod,,qtl,FALSE,2022-11-18
qtl0004,1.3.1,strOutcome,,rate,FALSE,2022-11-18
qtl0006,1.3.1,strGroup,,Study,FALSE,2022-11-18
qtl0006,1.3.1,vThreshold,1,0.2,TRUE,2022-11-18
qtl0006,1.3.1,strMethod,,qtl,FALSE,2022-11-18
qtl0006,1.3.1,strOutcome,,rate,FALSE,2022-11-18
