studyid,workflowid,groupid,numerator,denominator,metric,score,flag,snapshot_date
AA-AA-000-0000,kri0001,137,2,760,0.00263157894736842,1.02341740212366,0,2004-06-01
AA-AA-000-0000,kri0001,190,2,442,0.00452488687782806,1.40727547652248,0,2004-06-01
AA-AA-000-0000,kri0001,189,5,1687,0.002963841138115,2.23299850411169,0,2004-06-01
AA-AA-000-0000,kri0001,146,4,863,0.00463499420625724,2.31292628840836,0,2004-06-01
AA-AA-000-0000,kri0001,31,4,841,0.00475624256837099,2.33598104312384,0,2004-06-01
AA-AA-000-0000,kri0001,43,7,1531,0.00457217504898759,3.34862115668469,0,2004-06-01
AA-AA-000-0000,kri0002,61,0,2002,0,-2.74777529804728e-06,0,2004-06-01
AA-AA-000-0000,kri0002,106,0,1766,0,-2.74777529804728e-06,0,2004-06-01
AA-AA-000-0000,kri0002,77,0,1920,0,-2.74777529804728e-06,0,2004-06-01
AA-AA-000-0000,kri0002,17,0,1670,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,172,0,1606,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,189,0,1687,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,10,0,1524,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,138,0,1525,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,139,0,1516,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,43,0,1531,0,-2.74777529804727e-06,0,2004-06-01
AA-AA-000-0000,kri0002,111,0,840,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,13,0,853,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,146,0,863,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,173,0,839,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,174,0,841,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,26,0,925,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,31,0,841,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,56,0,848,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,59,0,839,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,71,0,836,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,76,0,925,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,137,0,760,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,143,0,760,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,62,0,758,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,69,0,761,0,-2.74777529804724e-06,0,2004-06-01
AA-AA-000-0000,kri0002,96,0,688,0,-2.74777529804723e-06,0,2004-06-01
AA-AA-000-0000,kri0002,92,0,673,0,-2.74777529804723e-06,0,2004-06-01
AA-AA-000-0000,kri0002,53,0,567,0,-2.74777529804722e-06,0,2004-06-01
AA-AA-000-0000,kri0002,190,0,442,0,-2.74777529804721e-06,0,2004-06-01
AA-AA-000-0000,kri0003,77,0,1963,0,-1.40753529269748,0,2004-06-01
AA-AA-000-0000,kri0003,106,0,1832,0,-1.37701127702166,0,2004-06-01
AA-AA-000-0000,kri0003,189,0,1774,0,-1.36301978865335,0,2004-06-01
AA-AA-000-0000,kri0003,172,0,1685,0,-1.34092973826244,0,2004-06-01
AA-AA-000-0000,kri0003,10,0,1612,0,-1.32220852738611,0,2004-06-01
AA-AA-000-0000,kri0003,138,0,1581,0,-1.31408319773642,0,2004-06-01
AA-AA-000-0000,kri0003,139,0,1580,0,-1.31381928688992,0,2004-06-01
AA-AA-000-0000,kri0003,59,0,882,0,-1.09184621117552,0,2004-06-01
AA-AA-000-0000,kri0003,146,0,877,0,-1.08987752065818,0,2004-06-01
AA-AA-000-0000,kri0003,56,0,877,0,-1.08987752065818,0,2004-06-01
AA-AA-000-0000,kri0003,71,0,876,0,-1.08948286379885,0,2004-06-01
AA-AA-000-0000,kri0003,143,0,801,0,-1.05896278631993,0,2004-06-01
AA-AA-000-0000,kri0003,69,0,791,0,-1.05474795591316,0,2004-06-01
AA-AA-000-0000,kri0003,137,0,781,0,-1.05049659715178,0,2004-06-01
AA-AA-000-0000,kri0003,62,0,779,0,-1.04964187291594,0,2004-06-01
AA-AA-000-0000,kri0003,96,0,732,0,-1.02910972113375,0,2004-06-01
AA-AA-000-0000,kri0003,92,0,702,0,-1.01552914556031,0,2004-06-01
AA-AA-000-0000,kri0003,53,0,608,0,-0.970226198289231,0,2004-06-01
AA-AA-000-0000,kri0003,190,0,480,0,-0.900084019565969,0,2004-06-01
AA-AA-000-0000,kri0003,46,0,37,0,-0.398979865818944,0,2004-06-01
AA-AA-000-0000,kri0003,61,1,2034,0.000491642084562439,-0.0131198476129071,0,2004-06-01
AA-AA-000-0000,kri0003,13,1,897,0.00111482720178372,0.467291400992427,0,2004-06-01
AA-AA-000-0000,kri0003,174,1,886,0.00112866817155756,0.473947686595281,0,2004-06-01
AA-AA-000-0000,kri0003,111,1,862,0.00116009280742459,0.488705199164653,0,2004-06-01
AA-AA-000-0000,kri0003,31,1,858,0.00116550116550117,0.491196942245617,0,2004-06-01
AA-AA-000-0000,kri0003,76,2,966,0.0020703933747412,1.36901301756542,0,2004-06-01
AA-AA-000-0000,kri0003,17,3,1753,0.00171135196805476,1.70977123235772,0,2004-06-01
AA-AA-000-0000,kri0003,43,3,1591,0.00188560653676933,1.78398664514035,0,2004-06-01
AA-AA-000-0000,kri0003,173,3,883,0.00339750849377123,2.21015518226008,0,2004-06-01
AA-AA-000-0000,kri0003,26,4,967,0.00413650465356774,2.83304351716567,0,2004-06-01
AA-AA-000-0000,kri0004,106,0,1832,0,-1.31175011656828,0,2004-06-01
AA-AA-000-0000,kri0004,172,0,1685,0,-1.22016658296217,0,2004-06-01
AA-AA-000-0000,kri0004,10,0,1612,0,-1.17429030156114,0,2004-06-01
AA-AA-000-0000,kri0004,43,0,1591,0,-1.16104164087335,0,2004-06-01
AA-AA-000-0000,kri0004,138,0,1581,0,-1.15472448899064,0,2004-06-01
AA-AA-000-0000,kri0004,139,0,1580,0,-1.15409247826112,0,2004-06-01
AA-AA-000-0000,kri0004,76,0,966,0,-0.753956750390751,0,2004-06-01
AA-AA-000-0000,kri0004,13,0,897,0,-0.707127119228144,0,2004-06-01
AA-AA-000-0000,kri0004,174,0,886,0,-0.699617508419789,0,2004-06-01
AA-AA-000-0000,kri0004,59,0,882,0,-0.696883633441641,0,2004-06-01
AA-AA-000-0000,kri0004,146,0,877,0,-0.693463939177639,0,2004-06-01
AA-AA-000-0000,kri0004,56,0,877,0,-0.693463939177639,0,2004-06-01
AA-AA-000-0000,kri0004,71,0,876,0,-0.692779685570174,0,2004-06-01
AA-AA-000-0000,kri0004,111,0,862,0,-0.683189022819143,0,2004-06-01
AA-AA-000-0000,kri0004,143,0,801,0,-0.641150699103421,0,2004-06-01
AA-AA-000-0000,kri0004,69,0,791,0,-0.634218774540588,0,2004-06-01
AA-AA-000-0000,kri0004,137,0,781,0,-0.627275033886304,0,2004-06-01
AA-AA-000-0000,kri0004,62,0,779,0,-0.625884852785735,0,2004-06-01
AA-AA-000-0000,kri0004,96,0,732,0,-0.593074032093641,0,2004-06-01
AA-AA-000-0000,kri0004,92,0,702,0,-0.571983151820326,0,2004-06-01
AA-AA-000-0000,kri0004,53,0,608,0,-0.505080270435123,0,2004-06-01
AA-AA-000-0000,kri0004,190,0,480,0,-0.411650043868626,0,2004-06-01
AA-AA-000-0000,kri0004,46,0,37,0,-0.0448158035293691,0,2004-06-01
AA-AA-000-0000,kri0004,61,1,2034,0.000491642084562439,-0.0307448449211049,0,2004-06-01
AA-AA-000-0000,kri0004,189,1,1774,0.00056369785794814,0.199254879520066,0,2004-06-01
AA-AA-000-0000,kri0004,77,2,1963,0.00101884870096791,0.913965668723427,0,2004-06-01
AA-AA-000-0000,kri0004,26,1,967,0.00103412616339193,1.04012685689924,0,2004-06-01
AA-AA-000-0000,kri0004,17,3,1753,0.00171135196805476,1.88314067654665,0,2004-06-01
AA-AA-000-0000,kri0004,173,2,883,0.00226500566251416,2.21653519272328,0,2004-06-01
AA-AA-000-0000,kri0004,31,2,858,0.00233100233100233,2.25571478508657,0,2004-06-01
AA-AA-000-0000,kri0001,43,17,1532,0.0110966057441253,6.83635421902201,1,2004-09-01
AA-AA-000-0000,kri0001,172,0,2279,0,-2.1806311660843,0,2004-09-01
AA-AA-000-0000,kri0001,139,0,2273,0,-2.17843016184994,0,2004-09-01
AA-AA-000-0000,kri0001,77,0,1920,0,-2.04204478253715,0,2004-09-01
AA-AA-000-0000,kri0001,69,0,1521,0,-1.8677091640957,0,2004-09-01
AA-AA-000-0000,kri0001,155,0,1344,0,-1.78125826995075,0,2004-09-01
AA-AA-000-0000,kri0001,26,0,925,0,-1.54372814170256,0,2004-09-01
AA-AA-000-0000,kri0001,174,0,841,0,-1.48844396638409,0,2004-09-01
AA-AA-000-0000,kri0001,173,0,839,0,-1.48708701573561,0,2004-09-01
AA-AA-000-0000,kri0001,59,0,839,0,-1.48708701573561,0,2004-09-01
AA-AA-000-0000,kri0001,113,0,777,0,-1.44399088215409,0,2004-09-01
AA-AA-000-0000,kri0001,187,0,763,0,-1.43396827203158,0,2004-09-01
AA-AA-000-0000,kri0001,143,0,760,0,-1.43180583996385,0,2004-09-01
AA-AA-000-0000,kri0001,136,0,757,0,-1.42963813540232,0,2004-09-01
AA-AA-000-0000,kri0001,167,0,757,0,-1.42963813540232,0,2004-09-01
AA-AA-000-0000,kri0001,30,0,757,0,-1.42963813540232,0,2004-09-01
AA-AA-000-0000,kri0001,63,0,752,0,-1.42601348577773,0,2004-09-01
AA-AA-000-0000,kri0001,35,0,688,0,-1.37824316975884,0,2004-09-01
AA-AA-000-0000,kri0001,96,0,688,0,-1.37824316975884,0,2004-09-01
AA-AA-000-0000,kri0001,140,0,673,0,-1.36665398456486,0,2004-09-01
AA-AA-000-0000,kri0001,92,0,673,0,-1.36665398456486,0,2004-09-01
AA-AA-000-0000,kri0001,98,0,673,0,-1.36665398456486,0,2004-09-01
AA-AA-000-0000,kri0001,97,0,672,0,-1.36587573055924,0,2004-09-01
AA-AA-000-0000,kri0001,16,0,670,0,-1.36431707641151,0,2004-09-01
AA-AA-000-0000,kri0001,166,0,668,0,-1.36275554922623,0,2004-09-01
AA-AA-000-0000,kri0001,164,0,666,0,-1.36119113508181,0,2004-09-01
AA-AA-000-0000,kri0001,54,0,666,0,-1.36119113508181,0,2004-09-01
AA-AA-000-0000,kri0001,12,0,624,0,-1.32764567866064,0,2004-09-01
AA-AA-000-0000,kri0001,91,0,560,0,-1.27373531593436,0,2004-09-01
AA-AA-000-0000,kri0001,94,1,2664,0.000375375375375375,-1.17808034463075,0,2004-09-01
AA-AA-000-0000,kri0001,61,1,2002,0.0004995004995005,-0.878706904997447,0,2004-09-01
AA-AA-000-0000,kri0001,106,1,1766,0.000566251415628539,-0.75485930298148,0,2004-09-01
AA-AA-000-0000,kri0001,17,1,1670,0.000598802395209581,-0.701074520647035,0,2004-09-01
AA-AA-000-0000,kri0001,13,1,1528,0.000654450261780105,-0.617283353353605,0,2004-09-01
AA-AA-000-0000,kri0001,138,1,1525,0.000655737704918033,-0.615453679667234,0,2004-09-01
AA-AA-000-0000,kri0001,157,1,1434,0.000697350069735007,-0.558674921383533,0,2004-09-01
AA-AA-000-0000,kri0001,62,2,2946,0.000678886625933469,-0.556994891131651,0,2004-09-01
AA-AA-000-0000,kri0001,56,1,848,0.00117924528301887,-0.110670066432373,0,2004-09-01
AA-AA-000-0000,kri0001,126,1,754,0.0013262599469496,-0.0187114531751649,0,2004-09-01
AA-AA-000-0000,kri0001,71,2,1592,0.00125628140703518,0.141722968768233,0,2004-09-01
AA-AA-000-0000,kri0001,10,2,1524,0.00131233595800525,0.187204290775057,0,2004-09-01
AA-AA-000-0000,kri0001,53,1,567,0.0017636684303351,0.19328958858371,0,2004-09-01
AA-AA-000-0000,kri0001,76,2,925,0.00216216216216216,0.674293054525144,0,2004-09-01
AA-AA-000-0000,kri0001,137,2,760,0.00263157894736842,0.85073710745886,0,2004-09-01
AA-AA-000-0000,kri0001,190,3,442,0.00678733031674208,2.07080810765881,0,2004-09-01
AA-AA-000-0000,kri0001,111,5,840,0.00595238095238095,2.70070139046085,0,2004-09-01
AA-AA-000-0000,kri0001,189,7,1687,0.004149377593361,2.84960774240757,0,2004-09-01
AA-AA-000-0000,kri0001,31,6,841,0.00713436385255648,3.23864093171397,0,2004-09-01
AA-AA-000-0000,kri0001,146,8,863,0.00926998841251448,4.19251796441015,0,2004-09-01
AA-AA-000-0000,kri0002,62,0,2946,0,-2.74777529804728e-06,0,2004-09-01
AA-AA-000-0000,kri0002,139,0,2273,0,-2.74777529804728e-06,0,2004-09-01
AA-AA-000-0000,kri0002,172,0,2279,0,-2.74777529804728e-06,0,2004-09-01
AA-AA-000-0000,kri0002,94,0,2664,0,-2.74777529804728e-06,0,2004-09-01
AA-AA-000-0000,kri0002,106,0,1766,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,17,0,1670,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,189,0,1687,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,61,0,2002,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,77,0,1920,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,10,0,1524,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,13,0,1528,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,138,0,1525,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,155,0,1344,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,157,0,1434,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,43,0,1532,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,69,0,1521,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,71,0,1592,0,-2.74777529804727e-06,0,2004-09-01
AA-AA-000-0000,kri0002,111,0,840,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,146,0,863,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,173,0,839,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,174,0,841,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,26,0,925,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,31,0,841,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,56,0,848,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,59,0,839,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,76,0,925,0,-2.74777529804726e-06,0,2004-09-01
AA-AA-000-0000,kri0002,113,0,777,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,126,0,754,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,136,0,757,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,137,0,760,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,140,0,673,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,143,0,760,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,16,0,670,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,164,0,666,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,166,0,668,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,167,0,757,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,187,0,763,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,30,0,757,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,35,0,688,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,54,0,666,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,63,0,752,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,92,0,673,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,96,0,688,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,97,0,672,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,98,0,673,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,12,0,624,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,53,0,567,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,91,0,560,0,-2.74777529804725e-06,0,2004-09-01
AA-AA-000-0000,kri0002,190,0,442,0,-2.74777529804724e-06,0,2004-09-01
AA-AA-000-0000,kri0003,173,12,883,0.0135900339750849,5.84260560152944,1,2004-09-01
