studyid,workflowid,groupid,numerator,denominator,metric,score,flag,gsm_analysis_date,snapshot_date
AA-AA-000-0000,qtl0007,AA-AA-000-0000,19,288,0.0659722222222222,0.0401836274970258,0,2022-11-17,2007-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,737,239329,0.00307944294256024,0.00286110246865917,0,2022-11-17,2007-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,19,312,0.0608974358974359,0.0370588422776686,0,2022-11-17,2007-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,788,271377,0.00290370959956076,0.00270448261985872,0,2022-11-17,2007-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,21,354,0.0593220338983051,0.0370926397872731,0,2022-11-17,2007-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,861,282872,0.00304377951865155,0.00284383784448239,0,2022-11-17,2007-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,23,370,0.0621621621621622,0.0398099435879483,0,2022-11-17,2007-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,925,289029,0.00320037089703801,0.00299742501516252,0,2022-11-17,2008-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,24,378,0.0634920634920635,0.0411006158572428,0,2022-11-17,2008-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1003,311992,0.00321482602118003,0.00301892391742595,0,2022-11-17,2008-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,24,408,0.0588235294117647,0.0380492536653947,0,2022-11-17,2008-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1067,336227,0.00317345126952922,0.00298587024753127,0,2022-11-17,2008-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,25,440,0.0568181818181818,0.0371035158294284,0,2022-11-17,2008-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1137,352024,0.00322989341635798,0.00304485865270115,0,2022-11-17,2008-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,25,462,0.0541125541125541,0.0353212338168075,0,2022-11-17,2008-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1191,361116,0.00329810919482936,0.00311343728793623,0,2022-11-17,2009-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,26,474,0.0548523206751055,0.0361405468551382,0,2022-11-17,2009-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1264,383242,0.00329817713089901,0.00311883815266893,0,2022-11-17,2009-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,26,501,0.0518962075848303,0.0341767796647868,0,2022-11-17,2009-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1341,403734,0.00332149385486484,0.00314607778682054,0,2022-11-17,2009-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,26,530,0.0490566037735849,0.032292166778335,0,2022-11-17,2009-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1409,415961,0.00338733679359363,0.00321275601667135,0,2022-11-17,2009-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,28,546,0.0512820512820513,0.0343434679854775,0,2022-11-17,2009-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1488,428445,0.00347302454223996,0.00329878218156966,0,2022-11-17,2010-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,29,560,0.0517857142857143,0.0349524096264784,0,2022-11-17,2010-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1547,452936,0.00341549357966689,0.00324739550852066,0,2022-11-17,2010-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,33,590,0.0559322033898305,0.0388102559465346,0,2022-11-17,2010-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1634,481839,0.00339117423039646,0.00322872204111906,0,2022-11-17,2010-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,33,632,0.0522151898734177,0.036211549513671,0,2022-11-17,2010-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1705,496763,0.00343222019353293,0.0032712201567838,0,2022-11-17,2010-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,35,652,0.053680981595092,0.0376720005420785,0,2022-11-17,2010-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1796,505629,0.00355201145503917,0.00338961845101421,0,2022-11-17,2011-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,36,663,0.0542986425339367,0.0383162608247175,0,2022-11-17,2011-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1856,522505,0.00355211911847734,0.00339233744135049,0,2022-11-17,2011-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,38,685,0.0554744525547445,0.0395524539256524,0,2022-11-17,2011-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,1907,548600,0.00347612103536274,0.00332183917901195,0,2022-11-17,2011-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,41,724,0.0566298342541437,0.0409413929808086,0,2022-11-17,2011-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2018,568195,0.00355159760293561,0.00339831420746694,0,2022-11-17,2011-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,44,751,0.0585885486018642,0.0428896063076881,0,2022-11-17,2011-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2101,578410,0.00363237150118428,0.00347869617777335,0,2022-11-17,2012-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,46,765,0.0601307189542484,0.0443559167927504,0,2022-11-17,2012-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2189,598559,0.00365711650814707,0.00350550313580221,0,2022-11-17,2012-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,54,790,0.0683544303797468,0.0517636414993364,0,2022-11-17,2012-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2273,624739,0.00363831936216564,0.00349026954724806,0,2022-11-17,2012-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,56,826,0.0677966101694915,0.0516157190860363,0,2022-11-17,2012-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2358,640355,0.00368233245621569,0.00353518954215594,0,2022-11-17,2012-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,58,847,0.0684769775678867,0.052404588584379,0,2022-11-17,2012-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2440,649957,0.00375409450163626,0.00360660093975919,0,2022-11-17,2013-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,59,859,0.0686845168800931,0.0526935338537967,0,2022-11-17,2013-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2508,670826,0.0037386744103538,0.00359377198878454,0,2022-11-17,2013-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,60,887,0.0676437429537768,0.0520127271339077,0,2022-11-17,2013-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2576,699950,0.00368026287591971,0.0035395012420643,0,2022-11-17,2013-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,62,926,0.0669546436285097,0.0517155182712673,0,2022-11-17,2013-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2659,709677,0.0037467749412761,0.00360570224774445,0,2022-11-17,2013-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,62,940,0.0659574468085106,0.0509395577539731,0,2022-11-17,2013-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2724,722130,0.00377217398529351,0.00363183370520395,0,2022-11-17,2014-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,62,956,0.0648535564853557,0.0500807811973283,0,2022-11-17,2014-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2793,738348,0.00378276910074924,0.00364376765033352,0,2022-11-17,2014-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,64,978,0.065439672801636,0.0507577014472024,0,2022-11-17,2014-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2872,762664,0.00376574743268333,0.00362927032296418,0,2022-11-17,2014-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,67,1011,0.066271018793274,0.0517247053531331,0,2022-11-17,2014-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2941,776853,0.00378578701504661,0.00365018802557206,0,2022-11-17,2014-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,70,1029,0.0680272108843538,0.0534109811933447,0,2022-11-17,2014-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2989,784738,0.00380891456766462,0.00367357719234885,0,2022-11-17,2015-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,70,1038,0.0674373795761079,0.0529445346618195,0,2022-11-17,2015-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3060,809157,0.00378171356115068,0.00364889680072655,0,2022-11-17,2015-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,72,1069,0.0673526660430309,0.0530689872266296,0,2022-11-17,2015-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3119,828757,0.00376346745789176,0.00363253658874657,0,2022-11-17,2015-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,73,1097,0.0665451230628988,0.0525200024692797,0,2022-11-17,2015-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3177,839763,0.0037832102628956,0.00365278899180513,0,2022-11-17,2015-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,73,1111,0.0657065706570657,0.0518536141773535,0,2022-11-17,2015-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3232,852988,0.00378903337444372,0.00365951791586538,0,2022-11-17,2016-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,73,1126,0.0648312611012433,0.0511581425998285,0,2022-11-17,2016-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3287,868698,0.00378382360728354,0.00365556357005749,0,2022-11-17,2016-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,73,1146,0.0636998254799302,0.0502593600517853,0,2022-11-17,2016-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3346,895188,0.00373776234712708,0.00361217613998211,0,2022-11-17,2016-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,74,1182,0.0626057529610829,0.0494752080254705,0,2022-11-17,2016-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3420,912007,0.00374997121732618,0.00362533388236742,0,2022-11-17,2016-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,77,1204,0.063953488372093,0.0507971986794383,0,2022-11-17,2016-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3491,928465,0.00375996941187875,0.00363626651417361,0,2022-11-17,2017-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,79,1224,0.0645424836601307,0.0514284442015823,0,2022-11-17,2017-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3568,947540,0.00376554024104523,0.00364298710047718,0,2022-11-17,2017-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,82,1250,0.0656,0.0525101985871705,0,2022-11-17,2017-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3616,975750,0.00370586728157827,0.00358605289853774,0,2022-11-17,2017-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,82,1288,0.0636645962732919,0.0509511411015937,0,2022-11-17,2017-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3695,984366,0.00375368511305754,0.00363361858262046,0,2022-11-17,2017-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,83,1301,0.0637970791698693,0.0511309233326774,0,2022-11-17,2017-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3759,984366,0.00381870158050969,0.00369759134964846,0,2022-11-17,2018-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,84,1301,0.0645657186779401,0.0518235763351825,0,2022-11-17,2018-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3828,984366,0.00388879745948153,0.00376657189462069,0,2022-11-17,2018-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,84,1301,0.0645657186779401,0.0518235763351825,0,2022-11-17,2018-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3867,984366,0.00392841686933519,0.0038055653424976,0,2022-11-17,2018-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,87,1301,0.0668716372021522,0.0539047487716545,0,2022-11-17,2018-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3890,984366,0.0039517821623258,0.00382856295752279,0,2022-11-17,2018-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,87,1301,0.0668716372021522,0.0539047487716545,0,2022-11-17,2018-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3913,984366,0.00397514745531642,0.00385156165796441,0,2022-11-17,2019-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,89,1301,0.0684089162182936,0.0552947891796837,0,2022-11-17,2019-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3934,984366,0.00399648098369915,0.00387256141124848,0,2022-11-17,2019-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,89,1301,0.0684089162182936,0.0552947891796837,0,2022-11-17,2019-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3937,984366,0.00399952863061097,0.00387556144879924,0,2022-11-17,2019-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,89,1301,0.0684089162182936,0.0552947891796837,0,2022-11-17,2019-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,3938,984366,0.00400054451291491,0.00387656146534752,0,2022-11-17,2019-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,89,1301,0.0684089162182936,0.0552947891796837,0,2022-11-17,2019-12-01
