"studyid","workflowid","groupid","n","numerator","denominator","kri","score","flag"
"AA-AA-000-0000","kri0001","X110X",4,10,16359,0.000611284308331805,-5.63275177050806,-1
"AA-AA-000-0000","kri0001","X203X",7,7,12256,0.000571148825065274,-5.22788725165665,-1
"AA-AA-000-0000","kri0001","X236X",17,17,30030,0.000566100566100566,-7.20151071833688,-1
"AA-AA-000-0000","kri0001","X126X",28,23,48002,0.000479146702220741,-9.11267563017734,-1
"AA-AA-000-0000","kri0001","X224X",5,6,12638,0.000474758664345624,-5.63720397595504,-1
"AA-AA-000-0000","kri0001","X018X",11,12,25476,0.000471031559114461,-7.30506961056405,-1
"AA-AA-000-0000","kri0001","X054X",9,6,16518,0.000363240101707228,-6.72039588598174,-1
"AA-AA-000-0000","kri0001","X154X",7,6,18593,0.000322702092185231,-7.23295205471388,-1
"AA-AA-000-0000","kri0001","X107X",3,2,7070,0.000282885431400283,-5.10654843491259,-1
"AA-AA-000-0000","kri0001","X166X",5,4,14735,0.000271462504241602,-6.85319959081379,-1
"AA-AA-000-0000","kri0001","X073X",3,2,9606,0.000208203206329377,-6.04559483467444,-1
"AA-AA-000-0000","kri0001","X013X",20,7,36240,0.000193156732891832,-10.3395007750834,-1
"AA-AA-000-0000","kri0001","X081X",13,4,21240,0.000188323917137476,-8.40177762634338,-1
"AA-AA-000-0000","kri0001","X219X",3,1,5705,0.000175284837861525,-5.01562193545809,-1
"AA-AA-000-0000","kri0001","X185X",5,1,16341,0.0000611957652530445,-8.35702078425596,-1
"AA-AA-000-0000","kri0001","X212X",5,0,7529,0,-6.42901919825981,-1
"AA-AA-000-0000","kri0001","X023X",2,0,6418,0,-6.01244465212961,-1
"AA-AA-000-0000","kri0001","X089X",4,0,4365,0,-5.11451639052769,-1
"AA-AA-000-0000","kri0001","X127X",1,2,4,0.5,3.47031491953876,0
"AA-AA-000-0000","kri0001","X080X",1,10,673,0.0148588410104012,3.38503082671417,0
"AA-AA-000-0000","kri0001","X007X",1,3,219,0.0136986301369863,1.5348211647759,0
"AA-AA-000-0000","kri0001","X188X",1,1,84,0.0119047619047619,0.662322718285209,0
"AA-AA-000-0000","kri0001","X078X",3,18,1567,0.01148691767709,4.18553336319758,0
"AA-AA-000-0000","kri0001","X125X",2,15,1344,0.0111607142857143,3.67438245287711,0
"AA-AA-000-0000","kri0001","X034X",2,10,904,0.0110619469026549,2.83488138948367,0
"AA-AA-000-0000","kri0001","X048X",4,25,2302,0.0108601216333623,4.95282523289753,0
"AA-AA-000-0000","kri0001","X047X",1,2,196,0.0102040816326531,0.916556755218589,0
"AA-AA-000-0000","kri0001","X227X",3,13,1372,0.00947521865889213,2.9997000323097,0
"AA-AA-000-0000","kri0001","X197X",2,12,1349,0.00889547813194959,2.71068704474913,0
"AA-AA-000-0000","kri0001","X123X",3,18,2131,0.00844673862036602,3.38968116964911,0
"AA-AA-000-0000","kri0001","X095X",6,32,4039,0.00792275315672196,4.6839576379746,0
"AA-AA-000-0000","kri0001","X215X",1,4,513,0.00779727095516569,1.11100782105576,0
"AA-AA-000-0000","kri0001","X071X",2,12,1568,0.0076530612244898,2.37315051117832,0
"AA-AA-000-0000","kri0001","X032X",4,16,2172,0.00736648250460405,2.78493518219343,0
"AA-AA-000-0000","kri0001","X036X",1,4,560,0.00714285714285714,0.988416844645972,0
"AA-AA-000-0000","kri0001","X158X",1,15,2261,0.00663423264042459,2.39441308867378,0
"AA-AA-000-0000","kri0001","X181X",3,6,910,0.00659340659340659,1.20649755718059,0
"AA-AA-000-0000","kri0001","X075X",2,12,1918,0.00625651720542232,1.90123687398272,0
"AA-AA-000-0000","kri0001","X009X",6,45,7370,0.00610583446404342,4.71651674603461,0
"AA-AA-000-0000","kri0001","X157X",2,8,1355,0.00590405904059041,1.28170217335477,0
"AA-AA-000-0000","kri0001","X057X",5,31,5317,0.0058303554636073,3.47956613192789,0
"AA-AA-000-0000","kri0001","X211X",1,3,531,0.00564971751412429,0.487708124937324,0
"AA-AA-000-0000","kri0001","X027X",4,33,6667,0.00494975251237438,2.99100292700069,0
"AA-AA-000-0000","kri0001","X100X",6,17,3444,0.00493612078977933,1.76552063852339,0
"AA-AA-000-0000","kri0001","X030X",1,7,1466,0.00477489768076398,0.733144079314501,0
"AA-AA-000-0000","kri0001","X167X",1,3,661,0.00453857791225416,0.189869836195033,0
"AA-AA-000-0000","kri0001","X175X",5,38,8775,0.00433048433048433,2.74301417948462,0
"AA-AA-000-0000","kri0001","X109X",5,35,8273,0.00423062975945848,2.46526385124545,0
"AA-AA-000-0000","kri0001","X093X",7,22,5668,0.00388143966125618,1.34360787018962,0
"AA-AA-000-0000","kri0001","X112X",3,6,1568,0.0038265306122449,0.193180536546226,0
"AA-AA-000-0000","kri0001","X029X",7,33,8724,0.00378266850068776,1.87101953870518,0
"AA-AA-000-0000","kri0001","X059X",12,37,9857,0.00375367758953028,2.04602878860435,0
"AA-AA-000-0000","kri0001","X136X",4,23,6266,0.0036706032556655,1.19995823397155,0
"AA-AA-000-0000","kri0001","X132X",3,7,1913,0.003659174072138,0.175762990500062,0
"AA-AA-000-0000","kri0001","X124X",4,17,4800,0.00354166666666667,0.730157368037981,0
"AA-AA-000-0000","kri0001","X105X",5,12,3404,0.00352526439482961,0.416083710884344,0
"AA-AA-000-0000","kri0001","X131X",7,57,16204,0.00351764996297211,2.64013901142163,0
"AA-AA-000-0000","kri0001","X085X",12,43,12329,0.00348771189877525,1.98522809143809,0
"AA-AA-000-0000","kri0001","X017X",3,7,2010,0.00348258706467662,0.067621813210068,0
"AA-AA-000-0000","kri0001","X169X",28,120,35312,0.00339827820570911,4.70010243428908,0
"AA-AA-000-0000","kri0001","X016X",5,26,7730,0.00336351875808538,1.02263911252034,0
"AA-AA-000-0000","kri0001","X084X",10,33,9922,0.00332594235033259,1.30655941931601,0
"AA-AA-000-0000","kri0001","X161X",2,15,4725,0.00317460317460317,0.2699749251905,0
"AA-AA-000-0000","kri0001","X210X",4,9,2847,0.00316122233930453,-0.0456102407995181,0
"AA-AA-000-0000","kri0001","X040X",22,130,42974,0.00302508493507702,4.04767838799744,0
"AA-AA-000-0000","kri0001","X222X",1,8,2645,0.00302457466918715,-0.203768228736493,0
"AA-AA-000-0000","kri0001","X021X",20,78,25907,0.00301076929015324,2.45269743710617,0
"AA-AA-000-0000","kri0001","X102X",69,134,44631,0.0030023974367592,4.09467657487661,0
"AA-AA-000-0000","kri0001","X223X",2,2,676,0.0029585798816568,-0.46642167486793,0
"AA-AA-000-0000","kri0001","X002X",9,25,8520,0.00293427230046948,0.426888071123734,0
"AA-AA-000-0000","kri0001","X206X",1,2,685,0.00291970802919708,-0.483922902490213,0
"AA-AA-000-0000","kri0001","X150X",3,16,5508,0.00290486564996369,0.0255289672992562,0
"AA-AA-000-0000","kri0001","X199X",9,39,13526,0.0028833357977229,0.874782246270571,0
"AA-AA-000-0000","kri0001","X008X",1,9,3125,0.00288,-0.284478366952997,0
"AA-AA-000-0000","kri0001","X028X",2,9,3171,0.00283822138126774,-0.322517658091975,0
"AA-AA-000-0000","kri0001","X172X",7,11,3931,0.00279827016026456,-0.286782617484294,0
"AA-AA-000-0000","kri0001","X037X",8,14,5206,0.00268920476373415,-0.3026885141055,0
"AA-AA-000-0000","kri0001","X231X",15,43,16032,0.00268213572854291,0.634996868175877,0
"AA-AA-000-0000","kri0001","X063X",3,8,3047,0.00262553331145389,-0.554736130680703,0
"AA-AA-000-0000","kri0001","X174X",5,28,10920,0.00256410256410256,-0.0441430504962825,0
"AA-AA-000-0000","kri0001","X121X",3,14,5524,0.00253439536567705,-0.495531588612323,0
"AA-AA-000-0000","kri0001","X226X",9,39,15733,0.00247886607767114,0.103287031346363,0
"AA-AA-000-0000","kri0001","X153X",8,13,5246,0.00247807853602745,-0.594030414772752,0
"AA-AA-000-0000","kri0001","X168X",17,65,26593,0.00244425224683187,0.690852482930477,0
"AA-AA-000-0000","kri0001","X115X",2,16,6673,0.00239772216394425,-0.634855382266037,0
"AA-AA-000-0000","kri0001","X196X",5,9,3766,0.00238980350504514,-0.782354307879509,0
"AA-AA-000-0000","kri0001","X130X",33,160,67605,0.00236668885437468,2.50418739362424,0
"AA-AA-000-0000","kri0001","X159X",8,17,7207,0.00235881781601221,-0.671689795076598,0
"AA-AA-000-0000","kri0001","X044X",4,10,4374,0.00228623685413809,-0.894591066430413,0
"AA-AA-000-0000","kri0001","X064X",3,17,7523,0.00225973680712482,-0.829309349094892,0
"AA-AA-000-0000","kri0001","X202X",4,6,2690,0.00223048327137546,-0.974249038064181,0
"AA-AA-000-0000","kri0001","X160X",1,2,911,0.0021953896816685,-0.878491865171261,0
"AA-AA-000-0000","kri0001","X186X",2,12,5545,0.00216411181244364,-1.04377901408951,0
"AA-AA-000-0000","kri0001","X090X",36,151,73539,0.00205333224547519,0.924963759106572,0
"AA-AA-000-0000","kri0001","X218X",1,9,4415,0.00203850509626274,-1.22847993910423,0
"AA-AA-000-0000","kri0001","X083X",20,55,26984,0.00203824488585829,-0.695758223777137,0
"AA-AA-000-0000","kri0001","X235X",9,46,23572,0.0019514678432038,-1.09785585252979,0
"AA-AA-000-0000","kri0001","X194X",3,7,3678,0.00190320826536161,-1.38460228462486,0
"AA-AA-000-0000","kri0001","X228X",1,7,3745,0.00186915887850467,-1.43208960899472,0
"AA-AA-000-0000","kri0001","X179X",4,15,8200,0.00182926829268293,-1.62463006336223,0
"AA-AA-000-0000","kri0001","X058X",7,28,15533,0.00180261378999549,-1.69463372780754,0
"AA-AA-000-0000","kri0001","X204X",7,27,15107,0.00178725094327133,-1.73939329393235,0
"AA-AA-000-0000","kri0001","X010X",28,40,22559,0.00177312824150007,-1.72242234424938,0
"AA-AA-000-0000","kri0001","X065X",3,14,8047,0.00173977879955263,-1.7994633483472,0
"AA-AA-000-0000","kri0001","X234X",2,6,3459,0.00173460537727667,-1.58450702146081,0
"AA-AA-000-0000","kri0001","X128X",58,211,122512,0.00172228026642288,-0.255072193460086,0
"AA-AA-000-0000","kri0001","X103X",3,9,5476,0.00164353542731921,-1.86750398814985,0
"AA-AA-000-0000","kri0001","X088X",3,15,9360,0.0016025641025641,-2.12665697515138,0
"AA-AA-000-0000","kri0001","X094X",5,15,9787,0.00153264534586697,-2.30048518622419,0
"AA-AA-000-0000","kri0001","X097X",5,12,7881,0.00152264940997335,-2.23192798615853,0
"AA-AA-000-0000","kri0001","X151X",6,20,13222,0.00151263046437755,-2.46739578230729,0
"AA-AA-000-0000","kri0001","X024X",1,6,4121,0.00145595729191944,-2.0380659034471,0
"AA-AA-000-0000","kri0001","X230X",9,24,16945,0.00141634700501623,-2.85466359767565,0
"AA-AA-000-0000","kri0001","X076X",2,6,4296,0.00139664804469274,-2.14946048117239,0
"AA-AA-000-0000","kri0001","X232X",5,3,2180,0.00137614678899083,-1.80796663833584,0
"AA-AA-000-0000","kri0001","X133X",17,24,17518,0.00137001940860829,-3.01996955275793,0
"AA-AA-000-0000","kri0001","X148X",4,15,11273,0.00133061296904107,-2.86720892761564,0
"AA-AA-000-0000","kri0001","X135X",1,4,3023,0.00132318888521336,-2.05111152056165,0
"AA-AA-000-0000","kri0001","X183X",5,3,2292,0.00130890052356021,-1.90885210100366,0
"AA-AA-000-0000","kri0001","X143X",5,16,12317,0.00129901761792644,-3.01068522731758,0
"AA-AA-000-0000","kri0001","X165X",8,14,10840,0.00129151291512915,-2.94151214233066,0
"AA-AA-000-0000","kri0001","X214X",3,12,9400,0.00127659574468085,-2.87714370277133,0
"AA-AA-000-0000","kri0001","X207X",3,6,5055,0.00118694362017804,-2.59955288097264,0
"AA-AA-000-0000","kri0001","X082X",10,17,14558,0.00116774282181618,-3.52503642861622,0
"AA-AA-000-0000","kri0001","X038X",6,20,17889,0.00111800547822684,-3.88411694456602,0
"AA-AA-000-0000","kri0001","X209X",8,9,8339,0.00107926609905264,-3.24445764944394,0
"AA-AA-000-0000","kri0001","X011X",1,4,3773,0.00106016432547045,-2.57826899092853,0
"AA-AA-000-0000","kri0001","X119X",1,5,4832,0.00103476821192053,-2.83172146111544,0
"AA-AA-000-0000","kri0001","X070X",4,6,6213,0.000965717044905843,-3.20496832951237,0
"AA-AA-000-0000","kri0001","X117X",4,4,4237,0.000944064196365353,-2.86967695457436,0
"AA-AA-000-0000","kri0001","X156X",2,8,8542,0.000936548817607118,-3.61541914329136,0
"AA-AA-000-0000","kri0001","X217X",6,8,9151,0.000874221396568681,-3.85752028614888,0
"AA-AA-000-0000","kri0001","X015X",3,7,8125,0.000861538461538462,-3.74296521676605,0
"AA-AA-000-0000","kri0001","X025X",12,13,15197,0.000855431993156544,-4.59795701484565,0
"AA-AA-000-0000","kri0001","X144X",4,13,15920,0.000816582914572864,-4.80531073016589,0
"AA-AA-000-0000","kri0001","X152X",5,8,9881,0.000809634652363121,-4.13386341806492,0
"AA-AA-000-0000","kri0001","X061X",2,6,7507,0.000799254029572399,-3.79730592991887,0
"AA-AA-000-0000","kri0001","X031X",2,3,4807,0.000624089868941127,-3.61159003465302,0
"AA-AA-000-0000","kri0001","X116X",2,4,6666,0.0006000600060006,-4.1228425680888,0
"AA-AA-000-0000","kri0001","X191X",1,2,3653,0.000547495209416918,-3.40787927501696,0
"AA-AA-000-0000","kri0001","X014X",2,3,5637,0.000532197977647685,-4.03706265341945,0
"AA-AA-000-0000","kri0001","X043X",1,2,4916,0.000406834825061025,-4.1221243088717,0
"AA-AA-000-0000","kri0001","X122X",1,1,3694,0.000270709258256632,-3.98465540768828,0
"AA-AA-000-0000","kri0001","X225X",1,1,4022,0.000248632521133764,-4.17341532860405,0
"AA-AA-000-0000","kri0001","X020X",1,1,4509,0.000221778664892437,-4.4366709114896,0
"AA-AA-000-0000","kri0001","X099X",4,0,3150,0,-4.46024945917916,0
"AA-AA-000-0000","kri0001","X113X",1,0,3053,0,-4.40209580489601,0
"AA-AA-000-0000","kri0001","X216X",1,0,679,0,-2.34274288546376,0
"AA-AA-000-0000","kri0001","X039X",1,0,49,0,-0.777472879465878,0
"AA-AA-000-0000","kri0002","X183X",5,10,2292,0.0043630017452007,7.93869355750166,1
"AA-AA-000-0000","kri0002","X007X",1,1,219,0.0045662100456621,2.52941436048827,0
"AA-AA-000-0000","kri0002","X096X",1,1,407,0.00245700245700246,2.27663176089851,0
"AA-AA-000-0000","kri0002","X136X",4,3,6266,0.0004787743376955,2.53394421926926,0
"AA-AA-000-0000","kri0002","X032X",4,1,2172,0.000460405156537753,1.44084688158462,0
"AA-AA-000-0000","kri0002","X218X",1,2,4415,0.000453001132502831,2.02336695330302,0
"AA-AA-000-0000","kri0002","X158X",1,1,2261,0.000442282176028306,1.41706006486968,0
"AA-AA-000-0000","kri0002","X165X",8,4,10840,0.0003690036900369,2.61162887251587,0
"AA-AA-000-0000","kri0002","X210X",4,1,2847,0.000351246926589392,1.27611757716187,0
"AA-AA-000-0000","kri0002","X173X",8,2,6342,0.000315357931251971,1.70677326078134,0
"AA-AA-000-0000","kri0002","X102X",69,14,44631,0.000313683314288275,4.49669226821592,0
"AA-AA-000-0000","kri0002","X100X",6,1,3444,0.000290360046457607,1.15357700165691,0
"AA-AA-000-0000","kri0002","X172X",7,1,3931,0.000254388196387688,1.06489435368869,0
"AA-AA-000-0000","kri0002","X095X",6,1,4039,0.000247586036147561,1.04634228734637,0
"AA-AA-000-0000","kri0002","X050X",27,8,32927,0.000242961703161539,2.91749056916733,0
"AA-AA-000-0000","kri0002","X180X",10,2,8577,0.000233181765185962,1.42016771395536,0
"AA-AA-000-0000","kri0002","X083X",20,6,26984,0.000222353987548177,2.37550298854666,0
"AA-AA-000-0000","kri0002","X119X",1,1,4832,0.000206953642384106,0.920215160871454,0
"AA-AA-000-0000","kri0002","X150X",3,1,5508,0.000181554103122731,0.824122718073609,0
"AA-AA-000-0000","kri0002","X014X",2,1,5637,0.000177399325882562,0.806766584789548,0
"AA-AA-000-0000","kri0002","X093X",7,1,5668,0.000176429075511644,0.802638365141501,0
"AA-AA-000-0000","kri0002","X140X",25,4,23645,0.000169168957496299,1.53883691641561,0
"AA-AA-000-0000","kri0002","X085X",12,2,12329,0.00016221915808257,1.04358711619684,0
"AA-AA-000-0000","kri0002","X055X",43,8,50728,0.000157703832203123,2.02133530781994,0
"AA-AA-000-0000","kri0002","X141X",15,4,26082,0.000153362472203052,1.38708417596071,0
"AA-AA-000-0000","kri0002","X027X",4,1,6667,0.000149992500374981,0.677480296729997,0
"AA-AA-000-0000","kri0002","X159X",8,1,7207,0.000138753989177189,0.615315146315801,0
"AA-AA-000-0000","kri0002","X015X",3,1,8125,0.000123076923076923,0.516772695665617,0
"AA-AA-000-0000","kri0002","X230X",9,2,16945,0.000118028917084686,0.679869890239168,0
"AA-AA-000-0000","kri0002","X029X",7,1,8724,0.000114626318202659,0.456604413505883,0
"AA-AA-000-0000","kri0002","X175X",5,1,8775,0.000113960113960114,0.451615861910278,0
"AA-AA-000-0000","kri0002","X114X",7,1,9248,0.000108131487889273,0.406279609775047,0
"AA-AA-000-0000","kri0002","X174X",5,1,10920,0.0000915750915750916,0.257783008776479,0
"AA-AA-000-0000","kri0002","X128X",58,11,122512,0.0000897871228940838,0.785238471783462,0
"AA-AA-000-0000","kri0002","X010X",28,2,22559,0.0000886564120750033,0.321145490144576,0
"AA-AA-000-0000","kri0002","X203X",7,1,12256,0.0000815926892950392,0.149938241204177,0
"AA-AA-000-0000","kri0002","X090X",36,6,73539,0.0000815893607473585,0.361735379525325,0
"AA-AA-000-0000","kri0002","X098X",11,2,24757,0.0000807852324595064,0.197415502618603,0
"AA-AA-000-0000","kri0002","X086X",33,4,58066,0.000068887128440051,-0.0351379068582733,0
"AA-AA-000-0000","kri0002","X082X",10,1,14558,0.0000686907542244814,-0.0186264279962699,0
"AA-AA-000-0000","kri0002","X236X",17,2,30030,0.0000666000666000666,-0.0719114709298439,0
"AA-AA-000-0000","kri0002","X204X",7,1,15107,0.0000661944793804197,-0.0561552722230162,0
"AA-AA-000-0000","kri0002","X231X",15,1,16032,0.000062375249500998,-0.117393194782212,0
"AA-AA-000-0000","kri0002","X130X",33,4,67605,0.0000591672213593669,-0.349526224047474,0
"AA-AA-000-0000","kri0002","X038X",6,1,17889,0.0000559002739113422,-0.233637053598516,0
"AA-AA-000-0000","kri0002","X154X",7,1,18593,0.0000537836820308718,-0.275633854248344,0
"AA-AA-000-0000","kri0002","X081X",13,1,21240,0.0000470809792843691,-0.424880669851132,0
"AA-AA-000-0000","kri0002","X193X",7,1,21607,0.0000462812977275883,-0.444604869595175,0
"AA-AA-000-0000","kri0002","X235X",9,1,23572,0.0000424232139826913,-0.54671061442116,0
"AA-AA-000-0000","kri0002","X126X",28,2,48002,0.0000416649306278905,-0.805187149780014,0
"AA-AA-000-0000","kri0002","X033X",15,1,24047,0.0000415852289266852,-0.570567921003571,0
"AA-AA-000-0000","kri0002","X021X",20,1,25907,0.0000385996062840159,-0.661202843564175,0
"AA-AA-000-0000","kri0002","X129X",12,1,31910,0.0000313381385145722,-0.928351943997674,0
"AA-AA-000-0000","kri0002","X201X",23,1,34949,0.000028613121977739,-1.05166666211278,0
"AA-AA-000-0000","kri0002","X169X",28,1,35312,0.0000283189850475759,-1.06594497228122,0
"AA-AA-000-0000","kri0002","X013X",20,1,36240,0.0000275938189845475,-1.10203953160874,0
"AA-AA-000-0000","kri0002","X192X",27,1,37624,0.0000265787795024452,-1.15482627155401,0
"AA-AA-000-0000","kri0002","X040X",22,0,42974,0,-2.45417558509337,0
"AA-AA-000-0000","kri0002","X168X",17,0,26593,0,-1.92996990109772,0
"AA-AA-000-0000","kri0002","X018X",11,0,25476,0,-1.88894947294659,0
"AA-AA-000-0000","kri0002","X072X",7,0,17830,0,-1.57989915856428,0
"AA-AA-000-0000","kri0002","X133X",17,0,17518,0,-1.56599712183177,0
"AA-AA-000-0000","kri0002","X054X",9,0,16518,0,-1.52058530589497,0
"AA-AA-000-0000","kri0002","X053X",10,0,16419,0,-1.51601573201336,0
"AA-AA-000-0000","kri0002","X110X",4,0,16359,0,-1.51323959513246,0
"AA-AA-000-0000","kri0002","X185X",5,0,16341,0,-1.51240576297521,0
"AA-AA-000-0000","kri0002","X131X",7,0,16204,0,-1.50604428483462,0
"AA-AA-000-0000","kri0002","X144X",4,0,15920,0,-1.49277086806973,0
"AA-AA-000-0000","kri0002","X226X",9,0,15733,0,-1.48396632461527,0
"AA-AA-000-0000","kri0002","X058X",7,0,15533,0,-1.47449167079523,0
"AA-AA-000-0000","kri0002","X025X",12,0,15197,0,-1.45843605819985,0
"AA-AA-000-0000","kri0002","X166X",5,0,14735,0,-1.43606729485938,0
"AA-AA-000-0000","kri0002","X068X",16,0,14654,0,-1.43210959551657,0
"AA-AA-000-0000","kri0002","X199X",9,0,13526,0,-1.3758154321848,0
"AA-AA-000-0000","kri0002","X151X",6,0,13222,0,-1.36024652811455,0
"AA-AA-000-0000","kri0002","X137X",7,0,12792,0,-1.33791620873052,0
"AA-AA-000-0000","kri0002","X224X",5,0,12638,0,-1.32982788846805,0
"AA-AA-000-0000","kri0002","X143X",5,0,12317,0,-1.31280870635041,0
"AA-AA-000-0000","kri0002","X148X",4,0,11273,0,-1.25586702380188,0
"AA-AA-000-0000","kri0002","X084X",10,0,9922,0,-1.17811415932586,0
"AA-AA-000-0000","kri0002","X152X",5,0,9881,0,-1.17567434596996,0
"AA-AA-000-0000","kri0002","X059X",12,0,9857,0,-1.17424381643796,0
"AA-AA-000-0000","kri0002","X094X",5,0,9787,0,-1.17006147492817,0
"AA-AA-000-0000","kri0002","X073X",3,0,9606,0,-1.15917736590592,0
"AA-AA-000-0000","kri0002","X214X",3,0,9400,0,-1.14666456298712,0
"AA-AA-000-0000","kri0002","X088X",3,0,9360,0,-1.14421906949006,0
"AA-AA-000-0000","kri0002","X217X",6,0,9151,0,-1.13135562836082,0
"AA-AA-000-0000","kri0002","X156X",2,0,8542,0,-1.09301255666266,0
"AA-AA-000-0000","kri0002","X002X",9,0,8520,0,-1.09160228222097,0
"AA-AA-000-0000","kri0002","X209X",8,0,8339,0,-1.07992984999421,0
"AA-AA-000-0000","kri0002","X109X",5,0,8273,0,-1.07564217265285,0
"AA-AA-000-0000","kri0002","X179X",4,0,8200,0,-1.07087979904505,0
"AA-AA-000-0000","kri0002","X065X",3,0,8047,0,-1.06082920750541,0
"AA-AA-000-0000","kri0002","X097X",5,0,7881,0,-1.04981610417626,0
"AA-AA-000-0000","kri0002","X016X",5,0,7730,0,-1.03969711042225,0
"AA-AA-000-0000","kri0002","X212X",5,0,7529,0,-1.0260730475129,0
"AA-AA-000-0000","kri0002","X064X",3,0,7523,0,-1.02566358466476,0
"AA-AA-000-0000","kri0002","X061X",2,0,7507,0,-1.02457088580852,0
"AA-AA-000-0000","kri0002","X009X",6,0,7370,0,-1.01516662814712,0
"AA-AA-000-0000","kri0002","X107X",3,0,7070,0,-0.994263578573391,0
"AA-AA-000-0000","kri0002","X115X",2,0,6673,0,-0.965908584388745,0
"AA-AA-000-0000","kri0002","X116X",2,0,6666,0,-0.965401170250616,0
"AA-AA-000-0000","kri0002","X023X",2,0,6418,0,-0.947249292151434,0
"AA-AA-000-0000","kri0002","X070X",4,0,6213,0,-0.93197855593501,0
"AA-AA-000-0000","kri0002","X219X",3,0,5705,0,-0.893015339119432,0
"AA-AA-000-0000","kri0002","X186X",2,0,5545,0,-0.880387396186567,0
"AA-AA-000-0000","kri0002","X121X",3,0,5524,0,-0.878716541692853,0
"AA-AA-000-0000","kri0002","X103X",3,0,5476,0,-0.874885494592439,0
"AA-AA-000-0000","kri0002","X057X",5,0,5317,0,-0.862073876490583,0
"AA-AA-000-0000","kri0002","X153X",8,0,5246,0,-0.856291221980881,0
"AA-AA-000-0000","kri0002","X037X",8,0,5206,0,-0.853016170113611,0
"AA-AA-000-0000","kri0002","X207X",3,0,5055,0,-0.840538148978609,0
"AA-AA-000-0000","kri0002","X043X",1,0,4916,0,-0.828886168864183,0
"AA-AA-000-0000","kri0002","X031X",2,0,4807,0,-0.819633440850955,0
"AA-AA-000-0000","kri0002","X124X",4,0,4800,0,-0.819035666322304,0
"AA-AA-000-0000","kri0002","X161X",2,0,4725,0,-0.812603416009763,0
"AA-AA-000-0000","kri0002","X020X",1,0,4509,0,-0.793788144199113,0
"AA-AA-000-0000","kri0002","X044X",4,0,4374,0,-0.7817992947684,0
"AA-AA-000-0000","kri0002","X089X",4,0,4365,0,-0.780993511730347,0
"AA-AA-000-0000","kri0002","X076X",2,0,4296,0,-0.774788074359321,0
"AA-AA-000-0000","kri0002","X117X",4,0,4237,0,-0.769442388910974,0
"AA-AA-000-0000","kri0002","X024X",1,0,4121,0,-0.758822718221826,0
"AA-AA-000-0000","kri0002","X225X",1,0,4022,0,-0.749640715557923,0
"AA-AA-000-0000","kri0002","X011X",1,0,3773,0,-0.726034809853179,0
"AA-AA-000-0000","kri0002","X196X",5,0,3766,0,-0.725360117444714,0
"AA-AA-000-0000","kri0002","X228X",1,0,3745,0,-0.723332274143425,0
"AA-AA-000-0000","kri0002","X195X",2,0,3703,0,-0.719259481024679,0
"AA-AA-000-0000","kri0002","X122X",1,0,3694,0,-0.718383743406466,0
