studyid,workflowid,threshold,x,y
AA-AA-000-0000,kri0001,-5,1.68629436111989,0
AA-AA-000-0000,kri0001,0,1.68629436111989,0.03691673201817
AA-AA-000-0000,kri0001,5,1.68629436111989,3.50693995175277
AA-AA-000-0000,kri0001,8,1.68629436111989,7.42618889935619
AA-AA-000-0000,kri0001,-8,1.73629436111989,0
AA-AA-000-0000,kri0001,-5,1.73629436111989,0
AA-AA-000-0000,kri0001,0,1.73629436111989,0.0387303505992986
AA-AA-000-0000,kri0001,5,1.73629436111989,3.54382096371878
AA-AA-000-0000,kri0001,8,1.73629436111989,7.49354470994622
AA-AA-000-0000,kri0001,-8,1.78629436111989,0
AA-AA-000-0000,kri0001,-5,1.78629436111989,0
AA-AA-000-0000,kri0001,0,1.78629436111989,0.0406330673258479
AA-AA-000-0000,kri0001,5,1.78629436111989,3.58138621656503
AA-AA-000-0000,kri0001,8,1.78629436111989,7.56200381037839
AA-AA-000-0000,kri0001,-8,1.83629436111989,0
AA-AA-000-0000,kri0001,-5,1.83629436111989,0
AA-AA-000-0000,kri0001,0,1.83629436111989,0.0426292593472363
AA-AA-000-0000,kri0001,5,1.83629436111989,3.6196529566652
AA-AA-000-0000,kri0001,8,1.83629436111989,7.63159124575288
AA-AA-000-0000,kri0001,-8,1.88629436111989,0
AA-AA-000-0000,kri0001,-5,1.88629436111989,0
AA-AA-000-0000,kri0001,0,1.88629436111989,0.0447235188503213
AA-AA-000-0000,kri0001,5,1.88629436111989,3.6586389600233
AA-AA-000-0000,kri0001,8,1.88629436111989,7.70233276601397
AA-AA-000-0000,kri0001,-8,1.93629436111989,0
AA-AA-000-0000,kri0001,-5,1.93629436111989,0
AA-AA-000-0000,kri0001,0,1.93629436111989,0.0469206636236038
AA-AA-000-0000,kri0001,5,1.93629436111989,3.69836255093979
AA-AA-000-0000,kri0001,8,1.93629436111989,7.77425484905076
AA-AA-000-0000,kri0001,-8,1.98629436111989,0
AA-AA-000-0000,kri0001,-5,1.98629436111989,0
AA-AA-000-0000,kri0001,0,1.98629436111989,0.049225748140423
AA-AA-000-0000,kri0001,5,1.98629436111989,3.73884262140533
AA-AA-000-0000,kri0001,8,1.98629436111989,7.84738472464554
AA-AA-000-0000,kri0001,-8,2.03629436111989,0
AA-AA-000-0000,kri0001,-5,2.03629436111989,0
AA-AA-000-0000,kri0001,0,2.03629436111989,0.0516440751866384
AA-AA-000-0000,kri0001,5,2.03629436111989,3.78009865125283
AA-AA-000-0000,kri0001,8,2.03629436111989,7.92175039930368
AA-AA-000-0000,kri0001,-8,2.08629436111989,0
AA-AA-000-0000,kri0001,-5,2.08629436111989,0
AA-AA-000-0000,kri0001,0,2.08629436111989,0.0541812080595478
AA-AA-000-0000,kri0001,5,2.08629436111989,3.82215072909971
AA-AA-000-0000,kri0001,8,2.08629436111989,7.99738068200025
AA-AA-000-0000,kri0001,-8,2.13629436111989,0
AA-AA-000-0000,kri0001,-5,2.13629436111989,0
AA-AA-000-0000,kri0001,0,2.13629436111989,0.0568429833661059
AA-AA-000-0000,kri0001,5,2.13629436111989,3.86501957411381
AA-AA-000-0000,kri0001,8,2.13629436111989,8.07430521088049
AA-AA-000-0000,kri0001,-8,2.18629436111989,0
AA-AA-000-0000,kri0001,-5,2.18629436111989,0
AA-AA-000-0000,kri0001,0,2.18629436111989,0.0596355244498835
AA-AA-000-0000,kri0001,5,2.18629436111989,3.90872655863787
AA-AA-000-0000,kri0001,8,2.18629436111989,8.15255448095238
AA-AA-000-0000,kri0001,-8,2.23629436111989,0
AA-AA-000-0000,kri0001,-5,2.23629436111989,0
AA-AA-000-0000,kri0001,0,2.23629436111989,0.0625652554776576
AA-AA-000-0000,kri0001,5,2.23629436111989,3.95329373170903
AA-AA-000-0000,kri0001,8,2.23629436111989,8.23215987281152
AA-AA-000-0000,kri0001,-8,2.28629436111989,0
AA-AA-000-0000,kri0001,-5,2.28629436111989,0
AA-AA-000-0000,kri0001,0,2.28629436111989,0.0656389162180363
AA-AA-000-0000,kri0001,5,2.28629436111989,3.99874384351143
AA-AA-000-0000,kri0001,8,2.28629436111989,8.31315368244015
AA-AA-000-0000,kri0001,-8,2.33629436111989,0
AA-AA-000-0000,kri0001,-5,2.33629436111989,0
AA-AA-000-0000,kri0001,0,2.33629436111989,0.0688635775461186
AA-AA-000-0000,kri0001,5,2.33629436111989,4.04510037080181
AA-AA-000-0000,kri0001,8,2.33629436111989,8.395569152124
AA-AA-000-0000,kri0001,-8,2.38629436111989,0
AA-AA-000-0000,kri0001,-5,2.38629436111989,0
AA-AA-000-0000,kri0001,0,2.38629436111989,0.0722466577098545
AA-AA-000-0000,kri0001,5,2.38629436111989,4.09238754334966
AA-AA-000-0000,kri0001,8,2.38629436111989,8.47944050253241
AA-AA-000-0000,kri0001,-8,2.43629436111989,0
AA-AA-000-0000,kri0001,-5,2.43629436111989,0
AA-AA-000-0000,kri0001,0,2.43629436111989,0.0757959393955285
AA-AA-000-0000,kri0001,5,2.43629436111989,4.14063037143544
AA-AA-000-0000,kri0001,8,2.43629436111989,8.56480296600946
AA-AA-000-0000,kri0001,-8,2.48629436111989,0
AA-AA-000-0000,kri0001,-5,2.48629436111989,0
AA-AA-000-0000,kri0001,0,2.48629436111989,0.0795195876316227
AA-AA-000-0000,kri0001,5,2.48629436111989,4.1898546744524
AA-AA-000-0000,kri0001,8,2.48629436111989,8.6516928211255
AA-AA-000-0000,kri0001,-8,2.53629436111989,0
AA-AA-000-0000,kri0001,-5,2.53629436111989,0
AA-AA-000-0000,kri0001,0,2.53629436111989,0.0834261685722489
AA-AA-000-0000,kri0001,5,2.53629436111989,4.24008711065945
AA-AA-000-0000,kri0001,8,2.53629436111989,8.74014742854094
AA-AA-000-0000,kri0001,-8,2.58629436111989,0
AA-AA-000-0000,kri0001,-5,2.58629436111989,0
AA-AA-000-0000,kri0001,0,2.58629436111989,0.087524669203359
AA-AA-000-0000,kri0001,5,2.58629436111989,4.29135520813482
AA-AA-000-0000,kri0001,8,2.58629436111989,8.8302052682364
AA-AA-000-0000,kri0001,-8,2.63629436111989,0
AA-AA-000-0000,kri0001,-5,2.63629436111989,0
AA-AA-000-0000,kri0001,0,2.63629436111989,0.091824518017068
AA-AA-000-0000,kri0001,5,2.63629436111989,4.3436873969825
AA-AA-000-0000,kri0001,8,2.63629436111989,8.9219059781655
AA-AA-000-0000,kri0001,-8,2.68629436111989,0
AA-AA-000-0000,kri0001,-5,2.68629436111989,0
AA-AA-000-0000,kri0001,0,2.68629436111989,0.0963356067016503
AA-AA-000-0000,kri0001,5,2.68629436111989,4.39711304284566
AA-AA-000-0000,kri0001,8,2.68629436111989,9.01529039438924
AA-AA-000-0000,kri0001,-8,2.73629436111989,0
AA-AA-000-0000,kri0001,-5,2.73629436111989,0
AA-AA-000-0000,kri0001,0,2.73629436111989,0.101068312897107
AA-AA-000-0000,kri0001,5,2.73629436111989,4.45166248178407
AA-AA-000-0000,kri0001,8,2.73629436111989,9.11040059275345
AA-AA-000-0000,kri0001,-8,2.78629436111989,0
AA-AA-000-0000,kri0001,-5,2.78629436111989,0
AA-AA-000-0000,kri0001,0,2.78629436111989,0.106033524068651
AA-AA-000-0000,kri0001,5,2.78629436111989,4.5073670565747
AA-AA-000-0000,kri0001,8,2.78629436111989,9.20727993217344
AA-AA-000-0000,kri0001,-8,2.83629436111989,0
AA-AA-000-0000,kri0001,-5,2.83629436111989,0
AA-AA-000-0000,kri0001,0,2.83629436111989,0.111242662553032
AA-AA-000-0000,kri0001,5,2.83629436111989,4.56425915449777
AA-AA-000-0000,kri0001,8,2.83629436111989,9.30597309959294
AA-AA-000-0000,kri0001,-8,2.88629436111989,0
AA-AA-000-0000,kri0001,-5,2.88629436111989,0
AA-AA-000-0000,kri0001,0,2.88629436111989,0.116707711835322
AA-AA-000-0000,kri0001,5,2.88629436111989,4.6223722466732
AA-AA-000-0000,kri0001,8,2.88629436111989,9.40652615668727
AA-AA-000-0000,kri0001,-8,2.93629436111989,0
AA-AA-000-0000,kri0001,-5,2.93629436111989,0
AA-AA-000-0000,kri0001,0,2.93629436111989,0.122441244116602
AA-AA-000-0000,kri0001,5,2.93629436111989,4.68174092901539
AA-AA-000-0000,kri0001,8,2.93629436111989,9.50898658838385
AA-AA-000-0000,kri0001,-8,2.98629436111989,0
AA-AA-000-0000,kri0001,-5,2.98629436111989,0
AA-AA-000-0000,kri0001,0,2.98629436111989,0.128456449235979
AA-AA-000-0000,kri0001,5,2.98629436111989,4.74240096487749
AA-AA-000-0000,kri0001,8,2.98629436111989,9.61340335327642
AA-AA-000-0000,kri0001,-8,3.03629436111989,0
AA-AA-000-0000,kri0001,-5,3.03629436111989,0
AA-AA-000-0000,kri0001,0,3.03629436111989,0.134767165013461
AA-AA-000-0000,kri0001,5,3.03629436111989,4.80438932945946
AA-AA-000-0000,kri0001,8,3.03629436111989,9.71982693601263
AA-AA-000-0000,kri0001,-8,3.08629436111989,0
AA-AA-000-0000,kri0001,-5,3.08629436111989,0
AA-AA-000-0000,kri0001,0,3.08629436111989,0.141387909083498
AA-AA-000-0000,kri0001,5,3.08629436111989,4.86774425605781
AA-AA-000-0000,kri0001,8,3.08629436111989,9.82830940173848
AA-AA-000-0000,kri0001,-8,3.13629436111989,0
AA-AA-000-0000,kri0001,-5,3.13629436111989,0
AA-AA-000-0000,kri0001,0,3.13629436111989,0.14833391229241
AA-AA-000-0000,kri0001,5,3.13629436111989,4.93250528423838
AA-AA-000-0000,kri0001,8,3.13629436111989,9.93890445268645
AA-AA-000-0000,kri0001,-8,3.18629436111989,0
AA-AA-000-0000,kri0001,-5,3.18629436111989,0
AA-AA-000-0000,kri0001,0,3.18629436111989,0.155621153736549
AA-AA-000-0000,kri0001,5,3.18629436111989,4.99871331001731
AA-AA-000-0000,kri0001,8,3.18629436111989,10.0516674869984
AA-AA-000-0000,kri0001,-8,3.23629436111989,0
AA-AA-000-0000,kri0001,-5,3.23629436111989,0
AA-AA-000-0000,kri0001,0,3.23629436111989,0.163266397521789
AA-AA-000-0000,kri0001,5,3.23629436111989,5.06641063813942
AA-AA-000-0000,kri0001,8,3.23629436111989,10.166655659878
AA-AA-000-0000,kri0001,-8,3.28629436111989,0
AA-AA-000-0000,kri0001,-5,3.28629436111989,0
AA-AA-000-0000,kri0001,0,3.28629436111989,0.171287231328901
AA-AA-000-0000,kri0001,5,3.28629436111989,5.13564103654724
AA-AA-000-0000,kri0001,8,3.28629436111989,10.2839279471728
AA-AA-000-0000,kri0001,-8,3.33629436111989,0
AA-AA-000-0000,kri0001,-5,3.33629436111989,0
AA-AA-000-0000,kri0001,0,3.33629436111989,0.179702106873552
AA-AA-000-0000,kri0001,5,3.33629436111989,5.20644979313824
AA-AA-000-0000,kri0001,8,3.33629436111989,10.403545211488
AA-AA-000-0000,kri0001,-8,3.38629436111989,0
AA-AA-000-0000,kri0001,-5,3.38629436111989,0
AA-AA-000-0000,kri0001,0,3.38629436111989,0.188530382353988
AA-AA-000-0000,kri0001,5,3.38629436111989,5.27888377491248
AA-AA-000-0000,kri0001,8,3.38629436111989,10.5255702709427
AA-AA-000-0000,kri0001,-8,3.43629436111989,0
AA-AA-000-0000,kri0001,-5,3.43629436111989,0
AA-AA-000-0000,kri0001,0,3.43629436111989,0.197792366984051
AA-AA-000-0000,kri0001,5,3.43629436111989,5.35299148961769
AA-AA-000-0000,kri0001,8,3.43629436111989,10.6500679706797
AA-AA-000-0000,kri0001,-8,3.48629436111989,0
AA-AA-000-0000,kri0001,-5,3.48629436111989,0
AA-AA-000-0000,kri0001,0,3.48629436111989,0.207509367713994
AA-AA-000-0000,kri0001,5,3.48629436111989,5.42882315000344
AA-AA-000-0000,kri0001,8,3.48629436111989,10.7771052572491
AA-AA-000-0000,kri0001,-8,3.53629436111989,0
AA-AA-000-0000,kri0001,-5,3.53629436111989,0
AA-AA-000-0000,kri0001,0,3.53629436111989,0.217703738246551
AA-AA-000-0000,kri0001,5,3.53629436111989,5.5064307408019
AA-AA-000-0000,kri0001,8,3.53629436111989,10.9067512559884
AA-AA-000-0000,kri0001,-8,3.58629436111989,0
AA-AA-000-0000,kri0001,-5,3.58629436111989,0
AA-AA-000-0000,kri0001,0,3.58629436111989,0.228398930461039
AA-AA-000-0000,kri0001,5,3.58629436111989,5.58586808855759
AA-AA-000-0000,kri0001,8,3.58629436111989,11.0390773515294
AA-AA-000-0000,kri0001,-8,3.63629436111989,0
AA-AA-000-0000,kri0001,-5,3.63629436111989,0
AA-AA-000-0000,kri0001,0,3.63629436111989,0.239619548363787
AA-AA-000-0000,kri0001,5,3.63629436111989,5.66719093443455
AA-AA-000-0000,kri0001,8,3.63629436111989,11.1741572715664
AA-AA-000-0000,kri0001,-8,3.68629436111989,0
AA-AA-000-0000,kri0001,-5,3.68629436111989,0
AA-AA-000-0000,kri0001,0,3.68629436111989,0.251391404688997
AA-AA-000-0000,kri0001,5,3.68629436111989,5.75045701013549
AA-AA-000-0000,kri0001,8,3.68629436111989,11.3120671740288
AA-AA-000-0000,kri0001,-8,3.73629436111989,0
AA-AA-000-0000,kri0001,-5,3.73629436111989,0
AA-AA-000-0000,kri0001,0,3.73629436111989,0.26374158028026
AA-AA-000-0000,kri0001,5,3.73629436111989,5.83572611707351
AA-AA-000-0000,kri0001,8,3.73629436111989,11.4528857378042
AA-AA-000-0000,kri0001,-8,3.78629436111989,0
AA-AA-000-0000,kri0001,-5,3.78629436111989,0
AA-AA-000-0000,kri0001,0,3.78629436111989,0.276698486389312
AA-AA-000-0000,kri0001,5,3.78629436111989,5.92306020894383
AA-AA-000-0000,kri0001,8,3.78629436111989,11.5966942571684
AA-AA-000-0000,kri0001,-8,3.83629436111989,0
AA-AA-000-0000,kri0001,-5,3.83629436111989,0
AA-AA-000-0000,kri0001,0,3.83629436111989,0.290291930035375
AA-AA-000-0000,kri0001,5,3.83629436111989,6.01252347784988
AA-AA-000-0000,kri0001,8,3.83629436111989,11.7435767400831
AA-AA-000-0000,kri0001,-8,3.88629436111989,0
AA-AA-000-0000,kri0001,-5,3.88629436111989,0
AA-AA-000-0000,kri0001,0,3.88629436111989,0.304553182575407
AA-AA-000-0000,kri0001,5,3.88629436111989,6.10418244414523
AA-AA-000-0000,kri0001,8,3.88629436111989,11.8936200105321
AA-AA-000-0000,kri0001,-8,3.93629436111989,0
AA-AA-000-0000,kri0001,-5,3.93629436111989,0
AA-AA-000-0000,kri0001,0,3.93629436111989,0.319515051643035
AA-AA-000-0000,kri0001,5,3.93629436111989,6.19810605016075
AA-AA-000-0000,kri0001,8,3.93629436111989,12.0469138150713
AA-AA-000-0000,kri0001,-8,3.98629436111989,0
AA-AA-000-0000,kri0001,-5,3.98629436111989,0
AA-AA-000-0000,kri0001,0,3.98629436111989,0.335211956621646
AA-AA-000-0000,kri0001,5,3.98629436111989,6.29436575799408
AA-AA-000-0000,kri0001,8,3.98629436111989,12.2035509337792
AA-AA-000-0000,kri0001,-8,4.03629436111989,0
AA-AA-000-0000,kri0001,-5,4.03629436111989,0
AA-AA-000-0000,kri0001,0,4.03629436111989,0.351680007825264
AA-AA-000-0000,kri0001,5,4.03629436111989,6.39303565154707
AA-AA-000-0000,kri0001,8,4.03629436111989,12.3636272958015
AA-AA-000-0000,kri0001,-8,4.08629436111989,0
AA-AA-000-0000,kri0001,-5,4.08629436111989,0
AA-AA-000-0000,kri0001,0,4.08629436111989,0.368957089569374
AA-AA-000-0000,kri0001,5,4.08629436111989,6.49419254300569
AA-AA-000-0000,kri0001,8,4.08629436111989,12.527242099692
AA-AA-000-0000,kri0001,-8,4.13629436111989,0
AA-AA-000-0000,kri0001,-5,4.13629436111989,0
AA-AA-000-0000,kri0001,0,4.13629436111989,0.387082947322784
AA-AA-000-0000,kri0001,5,4.13629436111989,6.59791608396593
AA-AA-000-0000,kri0001,8,4.13629436111989,12.6944979387629
AA-AA-000-0000,kri0001,-8,4.18629436111989,0
AA-AA-000-0000,kri0001,-5,4.18629436111989,0
AA-AA-000-0000,kri0001,0,4.18629436111989,0.406099279141025
AA-AA-000-0000,kri0001,5,4.18629436111989,6.70428888141899
AA-AA-000-0000,kri0001,8,4.18629436111989,12.8655009316659
AA-AA-000-0000,kri0001,-8,4.23629436111989,0
AA-AA-000-0000,kri0001,-5,4.23629436111989,0
AA-AA-000-0000,kri0001,0,4.23629436111989,0.42604983159162
AA-AA-000-0000,kri0001,5,4.23629436111989,6.81339661881935
AA-AA-000-0000,kri0001,8,4.23629436111989,13.0403608584366
AA-AA-000-0000,kri0001,-8,4.28629436111989,0
AA-AA-000-0000,kri0001,-5,4.28629436111989,0
AA-AA-000-0000,kri0001,0,4.28629436111989,0.446980500391907
AA-AA-000-0000,kri0001,5,4.28629436111989,6.92532818246954
AA-AA-000-0000,kri0001,8,4.28629436111989,13.2191913022458
AA-AA-000-0000,kri0001,-8,4.33629436111989,0
AA-AA-000-0000,kri0001,-5,4.33629436111989,0
AA-AA-000-0000,kri0001,0,4.33629436111989,0.468939435990916
AA-AA-000-0000,kri0001,5,4.33629436111989,7.04017579346705
AA-AA-000-0000,kri0001,8,4.33629436111989,13.4021097971112
AA-AA-000-0000,kri0001,-8,4.38629436111989,0
AA-AA-000-0000,kri0001,-5,4.38629436111989,0
AA-AA-000-0000,kri0001,0,4.38629436111989,0.491977154338208
AA-AA-000-0000,kri0001,5,4.38629436111989,7.15803514547018
AA-AA-000-0000,kri0001,8,4.38629436111989,13.5892379818372
AA-AA-000-0000,kri0001,-8,4.43629436111989,0
AA-AA-000-0000,kri0001,-5,4.43629436111989,0
AA-AA-000-0000,kri0001,0,4.43629436111989,0.516146653094473
AA-AA-000-0000,kri0001,5,4.43629436111989,7.2790055485519
AA-AA-000-0000,kri0001,8,4.43629436111989,13.7807017604603
AA-AA-000-0000,kri0001,-8,4.48629436111989,0
AA-AA-000-0000,kri0001,-5,4.48629436111989,0
AA-AA-000-0000,kri0001,0,4.48629436111989,0.541503533551245
AA-AA-000-0000,kri0001,5,4.48629436111989,7.40319007942384
AA-AA-000-0000,kri0001,8,4.48629436111989,13.9766314694924
AA-AA-000-0000,kri0001,-8,4.53629436111989,0
AA-AA-000-0000,kri0001,-5,4.53629436111989,0
AA-AA-000-0000,kri0001,0,4.53629436111989,0.568106128540204
AA-AA-000-0000,kri0001,5,4.53629436111989,7.53069573832589
AA-AA-000-0000,kri0001,8,4.53629436111989,14.1771620522678
AA-AA-000-0000,kri0001,-8,4.58629436111989,0
AA-AA-000-0000,kri0001,-5,4.58629436111989,0
AA-AA-000-0000,kri0001,0,4.58629436111989,0.596015636626303
AA-AA-000-0000,kri0001,5,4.58629436111989,7.66163361289081
AA-AA-000-0000,kri0001,8,4.58629436111989,14.3824332407134
AA-AA-000-0000,kri0001,-8,4.63629436111989,0
AA-AA-000-0000,kri0001,-5,4.63629436111989,0
AA-AA-000-0000,kri0001,0,4.63629436111989,0.625296262893455
AA-AA-000-0000,kri0001,5,4.63629436111989,7.79611904930853
AA-AA-000-0000,kri0001,8,4.63629436111989,14.5925897448763
AA-AA-000-0000,kri0001,-8,4.68629436111989,0
AA-AA-000-0000,kri0001,-5,4.68629436111989,0
AA-AA-000-0000,kri0001,0,4.68629436111989,0.656015366646615
AA-AA-000-0000,kri0001,5,4.68629436111989,7.93427183112985
AA-AA-000-0000,kri0001,8,4.68629436111989,14.8077814505603
AA-AA-000-0000,kri0001,-8,4.73629436111989,0
AA-AA-000-0000,kri0001,-5,4.73629436111989,0
AA-AA-000-0000,kri0001,0,4.73629436111989,0.688243616370089
AA-AA-000-0000,kri0001,5,4.73629436111989,8.07621636606592
AA-AA-000-0000,kri0001,8,4.73629436111989,15.0281636254379
AA-AA-000-0000,kri0001,-8,4.78629436111989,0
AA-AA-000-0000,kri0001,-5,4.78629436111989,0
AA-AA-000-0000,kri0001,0,4.78629436111989,0.722055152298501
AA-AA-000-0000,kri0001,5,4.78629436111989,8.22208188115681
AA-AA-000-0000,kri0001,8,4.78629436111989,15.2538971340216
AA-AA-000-0000,kri0001,-8,4.83629436111989,0
AA-AA-000-0000,kri0001,-5,4.83629436111989,0
AA-AA-000-0000,kri0001,0,4.83629436111989,0.757527756974439
AA-AA-000-0000,kri0001,5,4.83629436111989,8.37200262670023
AA-AA-000-0000,kri0001,8,4.83629436111989,15.4851486618977
AA-AA-000-0000,kri0001,-8,4.88629436111989,0
AA-AA-000-0000,kri0001,-5,4.88629436111989,0
AA-AA-000-0000,kri0001,0,4.88629436111989,0.794743034185144
AA-AA-000-0000,kri0001,5,4.88629436111989,8.52611808935075
AA-AA-000-0000,kri0001,8,4.88629436111989,15.7220909496431
AA-AA-000-0000,kri0001,-8,4.93629436111989,0
AA-AA-000-0000,kri0001,-5,4.93629436111989,0
AA-AA-000-0000,kri0001,0,4.93629436111989,0.833786596689842
AA-AA-000-0000,kri0001,5,4.93629436111989,8.68457321481887
AA-AA-000-0000,kri0001,8,4.93629436111989,15.9649030368677
AA-AA-000-0000,kri0001,-8,4.98629436111989,0
AA-AA-000-0000,kri0001,-5,4.98629436111989,0
AA-AA-000-0000,kri0001,0,4.98629436111989,0.874748263169647
AA-AA-000-0000,kri0001,5,4.98629436111989,8.84751864062064
AA-AA-000-0000,kri0001,8,4.98629436111989,16.2137705168424
AA-AA-000-0000,kri0001,-8,5.03629436111989,0
AA-AA-000-0000,kri0001,-5,5.03629436111989,0
AA-AA-000-0000,kri0001,0,5.03629436111989,0.917722264853045
AA-AA-000-0000,kri0001,5,5.03629436111989,9.01511093934965
AA-AA-000-0000,kri0001,8,5.03629436111989,16.4688858021997
AA-AA-000-0000,kri0001,-8,5.08629436111989,0
AA-AA-000-0000,kri0001,-5,5.08629436111989,0
AA-AA-000-0000,kri0001,0,5.08629436111989,0.962807462292342
AA-AA-000-0000,kri0001,5,5.08629436111989,9.18751287296631
AA-AA-000-0000,kri0001,8,5.08629436111989,16.7304484022107
AA-AA-000-0000,kri0001,-8,5.13629436111989,0
AA-AA-000-0000,kri0001,-5,5.13629436111989,0
AA-AA-000-0000,kri0001,0,5.13629436111989,1.01010757278975
AA-AA-000-0000,kri0001,5,5.13629436111989,9.36489365862301
AA-AA-000-0000,kri0001,8,5.13629436111989,16.9986652121725
AA-AA-000-0000,kri0001,-8,5.18629436111989,0
AA-AA-000-0000,kri0001,-5,5.18629436111989,0
AA-AA-000-0000,kri0001,0,5.18629436111989,1.05973140899628
AA-AA-000-0000,kri0001,5,5.18629436111989,9.54742924656866
AA-AA-000-0000,kri0001,8,5.18629436111989,17.2737508154597
AA-AA-000-0000,kri0001,-8,5.23629436111989,0
AA-AA-000-0000,kri0001,-5,5.23629436111989,0
AA-AA-000-0000,kri0001,0,5.23629436111989,1.11179312923238
AA-AA-000-0000,kri0001,5,5.23629436111989,9.73530261070254
AA-AA-000-0000,kri0001,8,5.23629436111989,17.5559277988249
AA-AA-000-0000,kri0001,-8,5.28629436111989,0
AA-AA-000-0000,kri0001,-5,5.28629436111989,0
AA-AA-000-0000,kri0001,0,5.28629436111989,1.16641250010613
AA-AA-000-0000,kri0001,5,5.28629436111989,9.92870405237476
AA-AA-000-0000,kri0001,8,5.28629436111989,17.8454270815571
AA-AA-000-0000,kri0001,-8,5.33629436111989,0
AA-AA-000-0000,kri0001,-5,5.33629436111989,0
AA-AA-000-0000,kri0001,0,5.33629436111989,1.22371517203309
AA-AA-000-0000,kri0001,5,5.33629436111989,10.1278315180593
AA-AA-000-0000,kri0001,8,5.33629436111989,18.1424882591381
AA-AA-000-0000,kri0001,-8,5.38629436111989,0
AA-AA-000-0000,kri0001,-5,5.38629436111989,0
AA-AA-000-0000,kri0001,0,5.38629436111989,1.28383296829187
AA-AA-000-0000,kri0001,5,5.38629436111989,10.3328909315563
AA-AA-000-0000,kri0001,8,5.38629436111989,18.4473599620672
AA-AA-000-0000,kri0001,-8,5.43629436111989,0
AA-AA-000-0000,kri0001,-5,5.43629436111989,0
AA-AA-000-0000,kri0001,0,5.43629436111989,1.34690418827996
AA-AA-000-0000,kri0001,5,5.43629436111989,10.5440965414111
AA-AA-000-0000,kri0001,8,5.43629436111989,18.7603002305555
AA-AA-000-0000,kri0001,-8,5.48629436111989,0
AA-AA-000-0000,kri0001,-5,5.48629436111989,0
AA-AA-000-0000,kri0001,0,5.48629436111989,1.41307392566793
AA-AA-000-0000,kri0001,5,5.48629436111989,10.7616712842725
AA-AA-000-0000,kri0001,8,5.48629436111989,19.081576905826
AA-AA-000-0000,kri0001,-8,5.53629436111989,0
AA-AA-000-0000,kri0001,-5,5.53629436111989,0
AA-AA-000-0000,kri0001,0,5.53629436111989,1.48249440218352
AA-AA-000-0000,kri0001,5,5.53629436111989,10.9858471649446
AA-AA-000-0000,kri0001,8,5.53629436111989,19.4114680387897
AA-AA-000-0000,kri0001,-8,5.58629436111989,0
AA-AA-000-0000,kri0001,-5,5.58629436111989,0
AA-AA-000-0000,kri0001,0,5.58629436111989,1.5553253177937
AA-AA-000-0000,kri0001,5,5.58629436111989,11.2168656539273
AA-AA-000-0000,kri0001,8,5.58629436111989,19.7502623169049
AA-AA-000-0000,kri0001,-8,5.63629436111989,0
AA-AA-000-0000,kri0001,-5,5.63629436111989,0
AA-AA-000-0000,kri0001,0,5.63629436111989,1.63173421809024
AA-AA-000-0000,kri0001,5,5.63629436111989,11.4549781032744
AA-AA-000-0000,kri0001,8,5.63629436111989,20.0982595100673
